,TIC,i0,i1,med,peak
1.0,241511379,2856.0,2881.0,49915.70703125,52110.34765625
1.0,241511379,11944.0,11953.0,49915.70703125,50294.703125
6.0,309817108,9113.0,9160.0,36240.23828125,40177.39453125
45.0,150100421,5941.0,5945.0,2981.043212890625,3174.212158203125
75.0,287438823,740.0,748.0,719.3242797851562,1070.9068603515625
75.0,287438823,8713.0,8724.0,719.3242797851562,1537.8052978515625
75.0,287438823,13216.0,13220.0,719.3242797851562,847.39306640625
86.0,272588795,3.0,27.0,1834103.75,1834424.75
86.0,272588795,133.0,176.0,1834103.75,1910275.875
86.0,272588795,7999.0,8008.0,1834103.75,2044652.375
86.0,272588795,8249.0,8282.0,1834103.75,2153402.75
86.0,272588795,14946.0,14986.0,1834103.75,2036911.5
95.0,331335557,2686.0,2694.0,39549.46875,39923.21484375
95.0,331335557,13063.0,13076.0,39549.46875,39962.8671875
106.0,166577188,9304.0,9308.0,4311.5859375,4464.1796875
160.0,350297825,5357.0,5362.0,258.438232421875,508.439453125
160.0,350297825,8843.0,8852.0,258.438232421875,502.74066162109375
160.0,350297825,10315.0,10337.0,258.438232421875,591.2091674804688
174.0,279614617,7717.0,7731.0,34756.84375,37104.78125
174.0,279614617,9589.0,9631.0,34756.84375,35459.83984375
184.0,323981906,2352.0,2356.0,35213.1796875,37063.984375
184.0,323981906,2358.0,2388.0,35213.1796875,37135.98046875
184.0,323981906,8014.0,8038.0,35213.1796875,37835.03515625
209.0,159752939,3783.0,3788.0,59769.578125,60336.54296875
223.0,406376506,1673.0,1679.0,7527.51220703125,7780.42578125
223.0,406376506,4994.0,5006.0,7527.51220703125,8337.537109375
233.0,278056060,7459.0,7464.0,2583.739013671875,2656.92626953125
233.0,278056060,11984.0,11994.0,2583.739013671875,2644.918701171875
264.0,418471427,9240.0,9245.0,1119.0184326171875,1221.6800537109375
264.0,418471427,10731.0,10736.0,1119.0184326171875,1303.0765380859375
264.0,418471427,10757.0,10794.0,1119.0184326171875,1764.572265625
264.0,418471427,10804.0,10811.0,1119.0184326171875,1492.98046875
264.0,418471427,13878.0,13884.0,1119.0184326171875,1398.0555419921875
301.0,349309931,12895.0,12904.0,4773.30712890625,4918.0654296875
316.0,289425857,3985.0,3989.0,3491440.25,3512747.25
316.0,289425857,3991.0,3999.0,3491440.25,3512884.5
334.0,400320132,10017.0,10021.0,3423.00146484375,3486.97021484375
384.0,67228,3262.0,3284.0,75130.2890625,75931.6015625
384.0,67228,12574.0,12586.0,75130.2890625,76192.078125
389.0,271629040,10391.0,10395.0,74825.0390625,74116.234375
415.0,349518888,6804.0,6825.0,1316.9752197265625,1454.8951416015625
492.0,309062208,11830.0,11837.0,734.9578857421875,816.504150390625
515.0,48626835,5562.0,5592.0,1644.7576904296875,1734.3597412109375
568.0,323316750,860.0,865.0,4548.4287109375,4712.373046875
588.0,160828759,3769.0,3774.0,5835.044921875,6034.57470703125
588.0,160828759,9634.0,9643.0,5835.044921875,6521.2099609375
590.0,418381079,10301.0,10306.0,2853.03759765625,2872.10986328125
590.0,418381079,15582.0,15588.0,2853.03759765625,2923.073486328125
603.0,339308290,4264.0,4268.0,5175.28564453125,5184.3955078125
603.0,339308290,6858.0,6870.0,5175.28564453125,5607.02978515625
624.0,248185023,5323.0,5360.0,983.03564453125,1516.88427734375
624.0,248185023,6907.0,6913.0,983.03564453125,1155.22705078125
625.0,452500843,3345.0,3349.0,6810.60693359375,7218.34765625
625.0,452500843,3356.0,3361.0,6810.60693359375,7190.53759765625
625.0,452500843,7890.0,7915.0,6810.60693359375,7201.50146484375
633.0,372908550,12.0,37.0,1427709.25,1430374.875
635.0,260265631,11604.0,11608.0,13209.30859375,13745.2548828125
660.0,107251863,2323.0,2327.0,213682.40625,217165.21875
660.0,107251863,8757.0,8763.0,213682.40625,217146.25
660.0,107251863,8771.0,8780.0,213682.40625,217144.46875
660.0,107251863,13023.0,13028.0,213682.40625,217829.0625
675.0,382407397,517.0,521.0,11788.177734375,11896.0556640625
684.0,460532958,11944.0,11949.0,8195681.0,8255279.5
684.0,460532958,15154.0,15159.0,8195681.0,8265614.0
684.0,460532958,15527.0,15558.0,8195681.0,8283267.5
702.0,360263464,11563.0,11568.0,4294624.5,4346463.5
762.0,83231156,9005.0,9017.0,468.5663146972656,598.2159423828125
768.0,415241228,13247.0,13284.0,99.08425903320312,1946.817138671875
790.0,76652075,12258.0,12264.0,17688.35546875,18140.65234375
792.0,355152971,944.0,971.0,12840.4228515625,13157.8046875
792.0,355152971,973.0,977.0,12840.4228515625,13069.189453125
852.0,207881543,8910.0,8918.0,137719.125,144742.890625
864.0,38633462,13609.0,13614.0,917.3383178710938,991.7705688476562
909.0,454254671,12461.0,12472.0,191.8360595703125,776.0733032226562
