,TIC,i0,i1,med,peak
46.0,423443452,6383.0,6387.0,48685.5625,49059.91796875
46.0,423443452,10067.0,10071.0,48685.5625,49275.89453125
53.0,343088988,14636.0,14644.0,4159.576171875,4505.50830078125
56.0,445393000,2651.0,2658.0,137563.609375,141342.375
56.0,445393000,8570.0,8608.0,137563.609375,140760.75
56.0,445393000,10136.0,10161.0,137563.609375,141698.53125
56.0,445393000,10467.0,10481.0,137563.609375,142053.953125
56.0,445393000,11742.0,11748.0,137563.609375,142224.984375
56.0,445393000,12079.0,12088.0,137563.609375,142207.90625
56.0,445393000,12090.0,12094.0,137563.609375,142210.328125
75.0,150065109,1456.0,1460.0,46237.69921875,46725.90625
80.0,350824771,3264.0,3279.0,1029.024169921875,1389.07421875
80.0,350824771,8056.0,8062.0,1029.024169921875,1181.7672119140625
117.0,140579674,1034.0,1049.0,5400.59619140625,5705.4873046875
134.0,430551101,4260.0,4281.0,179781.375,180340.828125
176.0,260504446,2610.0,2614.0,682.5750122070312,1004.0037231445312
203.0,260351540,9173.0,9184.0,75011.7734375,73062.15625
208.0,188244697,4302.0,4308.0,1515.16015625,1608.37158203125
278.0,437230158,3865.0,3874.0,1824.349365234375,1974.5577392578125
278.0,437230158,5521.0,5525.0,1824.349365234375,1880.07275390625
287.0,47495808,5957.0,6003.0,677.7029418945312,1119.7315673828125
297.0,358176584,909.0,916.0,4738.32861328125,4950.97705078125
297.0,358176584,1157.0,1172.0,4738.32861328125,6100.0302734375
297.0,358176584,5998.0,6010.0,4738.32861328125,5324.76708984375
297.0,358176584,7680.0,7688.0,4738.32861328125,5318.05078125
345.0,157755876,5311.0,5315.0,10266.7216796875,10407.7197265625
388.0,463103957,9106.0,9136.0,864978.375,862280.5
395.0,340175256,8574.0,8585.0,9648.7060546875,9611.0986328125
399.0,349192028,3615.0,3624.0,2803.842041015625,2894.185791015625
399.0,349192028,6670.0,6674.0,2803.842041015625,2896.099365234375
445.0,309299238,1124.0,1164.0,518.8854370117188,743.8992919921875
445.0,309299238,8927.0,8932.0,518.8854370117188,645.6763916015625
445.0,309299238,9215.0,9219.0,518.8854370117188,638.2002563476562
462.0,279089927,8376.0,8386.0,2916.82861328125,2966.631591796875
462.0,279089927,8389.0,8398.0,2916.82861328125,2976.8662109375
501.0,141914082,2212.0,2226.0,57282.546875,56280.51171875
501.0,141914082,3793.0,3802.0,57282.546875,56028.4296875
501.0,141914082,12344.0,12367.0,57282.546875,59928.56640625
503.0,260609189,5752.0,5756.0,414.35736083984375,547.4423217773438
519.0,34945703,139.0,149.0,4444.76220703125,4490.5068359375
519.0,34945703,4036.0,4043.0,4444.76220703125,4594.14794921875
519.0,34945703,9942.0,9946.0,4444.76220703125,4529.72509765625
519.0,34945703,10581.0,10586.0,4444.76220703125,4595.6875
519.0,34945703,14203.0,14208.0,4444.76220703125,4461.06298828125
535.0,437261155,2393.0,2406.0,122729.90625,131372.59375
535.0,437261155,13086.0,13105.0,122729.90625,127142.96875
535.0,437261155,14679.0,14683.0,122729.90625,124215.171875
576.0,22014428,12410.0,12421.0,422.27203369140625,755.771728515625
579.0,296862547,2116.0,2126.0,16037.259765625,16375.375
618.0,385927634,2745.0,2767.0,11029.517578125,12288.244140625
618.0,385927634,8795.0,8821.0,11029.517578125,11973.2021484375
628.0,271725679,1541.0,1555.0,585.9041748046875,942.0360717773438
628.0,271725679,11272.0,11276.0,585.9041748046875,662.2361450195312
640.0,310768860,8838.0,8843.0,820.832275390625,873.5901489257812
671.0,287354092,2602.0,2615.0,2564.327392578125,2667.1728515625
671.0,287354092,7781.0,7795.0,2564.327392578125,2646.8447265625
707.0,25132999,13641.0,13646.0,7154.78369140625,7445.4609375
707.0,25132999,14382.0,14393.0,7154.78369140625,7522.30322265625
746.0,23226268,1454.0,1462.0,2020.454345703125,2286.752685546875
746.0,23226268,8787.0,8793.0,2020.454345703125,2150.459228515625
746.0,23226268,13553.0,13585.0,2020.454345703125,2336.034423828125
787.0,281298307,7023.0,7030.0,288.6043701171875,583.8129272460938
799.0,307290964,8079.0,8085.0,2749.19482421875,2861.4677734375
799.0,307290964,14377.0,14381.0,2749.19482421875,2830.780029296875
800.0,446369965,9182.0,9194.0,293985.78125,295408.9375
823.0,48206636,932.0,940.0,1442.0164794921875,1542.7984619140625
823.0,48206636,957.0,963.0,1442.0164794921875,1522.96435546875
823.0,48206636,975.0,980.0,1442.0164794921875,1514.51806640625
839.0,169225390,13602.0,13607.0,1053296.0,1055375.625
950.0,141227331,809.0,824.0,236951.875,216144.03125
950.0,141227331,14059.0,14107.0,236951.875,234016.203125
966.0,145373620,513.0,532.0,40607.171875,41327.37890625
966.0,145373620,7181.0,7202.0,40607.171875,43698.1328125
970.0,157755525,8124.0,8144.0,1448.0440673828125,1531.279296875
970.0,157755525,8146.0,8151.0,1448.0440673828125,1534.8311767578125
970.0,157755525,8153.0,8157.0,1448.0440673828125,1525.2679443359375
978.0,32090583,3172.0,3180.0,678.9236450195312,763.0667724609375
978.0,32090583,4131.0,4140.0,678.9236450195312,886.089599609375
978.0,32090583,9161.0,9171.0,678.9236450195312,1416.511962890625
1010.0,3588888,3969.0,3974.0,398.0846862792969,513.7483520507812
1037.0,382624902,1912.0,1932.0,2724.21875,3877.2509765625
1041.0,340485535,14982.0,14988.0,2304.548828125,2430.14794921875
1130.0,25102706,3923.0,3938.0,525.3349609375,869.6627197265625
1137.0,219443066,3098.0,3114.0,4180.98486328125,4982.9267578125
1140.0,291557742,8571.0,8579.0,95963.921875,96262.109375
1147.0,192543856,905.0,911.0,6127.85986328125,7103.859375
1147.0,192543856,2486.0,2490.0,6127.85986328125,6368.361328125
1147.0,192543856,3076.0,3080.0,6127.85986328125,6565.7578125
1147.0,192543856,5057.0,5073.0,6127.85986328125,7155.41796875
1147.0,192543856,8177.0,8182.0,6127.85986328125,7077.677734375
1188.0,25517076,9087.0,9096.0,268.7412109375,399.3578796386719
1193.0,461794638,13756.0,13762.0,60172.03125,60451.703125
1207.0,62904924,11204.0,11258.0,5859.828125,8804.8515625
1209.0,3582508,2527.0,2538.0,473.3264465332031,750.8270263671875
1218.0,294638698,9277.0,9294.0,673.8551635742188,1383.3641357421875
1281.0,279570232,8366.0,8370.0,6833.8369140625,6923.22509765625
1281.0,279570232,8374.0,8388.0,6833.8369140625,6952.46875
1281.0,279570232,8390.0,8397.0,6833.8369140625,6970.86669921875
1281.0,279570232,14199.0,14204.0,6833.8369140625,6828.31494140625
1291.0,140132301,9056.0,9078.0,38232.5546875,40037.8671875
