,TIC,LSper,LSamp,LSmed,LSstd,acf_pk,acf_per,bls_per,bls_ampl,ecl_num,ecl_dep
14396,376935746,0.7383704927009506,0.14474066479550657,0.00015706000641348865,0.002163788502568449,0.04509039258111215,0.7409531595531007,-1.0,-1.0,-1.0,-1.0
14397,382462024,0.29657867606460125,0.0007216714770106836,9.290725891175408e-05,2.970385769622139e-05,0.0018508312948829241,7.939323171529168,-1.0,-1.0,-1.0,-1.0
14398,207110936,28.22798112282339,0.2207172412500729,3.020804774725621e-05,0.0012936800872240444,0.06381163653384005,3.3333325136482017,12.191879577129233,57.22739973185016,-1.0,-1.0
14399,144439557,2.2892313910893076,0.002531836325144931,8.379040135743035e-05,3.717005795534295e-05,0.0036148910781526812,2.172172164762742,-1.0,-1.0,-1.0,-1.0
14400,114817235,2.262281395752611,0.0011761155029507756,7.788128318750237e-05,0.0004954647836753005,0.0015575876616648772,2.1506874258882362,-1.0,-1.0,-1.0,-1.0
14401,206621564,0.39325602643808294,0.0069813075447830095,0.00017040250012905514,0.0003149106565121307,-0.0013780975408864173,2.2881612767434945,-1.0,-1.0,-1.0,-1.0
14402,141127435,1.6147682690032328,0.8658562500734814,2.0635987695982254e-05,0.0033403504201963753,0.5617622979833953,3.2437057013285084,1.6259724534559519,397.5359874121674,54.0,-0.020148530484234053
14403,300808145,0.27688902103639074,0.0007693298577909875,8.301589255406612e-05,0.0001013819875018729,0.000305398877632313,2.4221895481096,-1.0,-1.0,-1.0,-1.0
14404,55479529,0.12884897682037147,0.0009009777901567735,8.57244794614378e-05,0.0014894921609491778,0.0009249983767328187,2.185411000234353,-1.0,-1.0,-1.0,-1.0
14405,167797589,3.776498468411263,0.0038877020061741335,9.315272238285855e-05,8.923824370254888e-05,0.004787951780462247,3.96250068756126,-1.0,-1.0,-1.0,-1.0
14406,364424541,5.849149849854371,0.01616003043659583,8.303599753241474e-05,0.00724631685922318,0.019168527695394726,5.435317153688402,-1.0,-1.0,-1.0,-1.0
14407,144460504,4.702159730790777,0.015238960096677606,0.00010815515612620932,8.912184997895421e-05,0.015636124599730808,5.212385122474643,-1.0,-1.0,-1.0,-1.0
14408,382157804,2.0452162570405146,0.000927000016431855,8.140685616648574e-05,0.0018490236511177105,0.0011860951736300661,2.058362243117699,-1.0,-1.0,-1.0,-1.0
14409,165886346,10.20595448809706,0.007097125736874984,8.553086954885762e-05,0.00019552073852485246,-0.0032408051543754536,1.765240649223415,-1.0,-1.0,-1.0,-1.0
14410,251823333,5.2133945281471155,0.0008813622549134026,8.67418202232885e-05,0.00014133573508124845,0.002226953494087645,1.7506811006858243,-1.0,-1.0,-1.0,-1.0
14411,220521704,4.820366237324634,0.08752731162179185,0.00013268694257006453,0.0009965819959188117,0.07058780077985925,5.418029699872477,-1.0,-1.0,-1.0,-1.0
14412,137768283,0.3593631928427848,0.0010488323163069596,9.124199673287721e-05,4.981650654065487e-05,0.0004236742776878222,2.8151902471058747,-1.0,-1.0,-1.0,-1.0
14413,167366681,8.415119720671111,0.6055128328238254,4.390978483377378e-05,0.002892001825942458,0.5086236770717049,8.008974626250392,7.635341515659283,50.23431639070659,-1.0,-1.0
14414,179304753,1.9416685933091897,0.006249882244491689,0.0001105147633070941,0.008102185932822647,0.003747439485216707,1.879845445364026,-1.0,-1.0,-1.0,-1.0
14415,38508395,0.4057358776199687,0.001018256203196337,7.060421008206068e-05,0.00012810185538021315,0.0020543104506186446,2.132635325613819,-1.0,-1.0,-1.0,-1.0
14416,149902203,4.820385956536476,0.001471356637434416,9.021822957900165e-05,7.481915387996751e-05,0.003922763180219254,2.7840441872995143,-1.0,-1.0,-1.0,-1.0
