,TIC,per,Pamp,Pmed,StdLC,acf_pk,acf_per,bls_period,bls_ampl,ecl_flg
0,333699886,5.383262149514042,0.5374254964508025,7.230806372332432e-05,0.00022045753652695304,0.3854528327013639,5.404629644441229,-1.0,-1.0,-1.0
1,272286122,9.246414248502626,0.39461454829790366,3.6750675585407806e-05,0.0006324925907757307,0.3772121291254774,9.877067661536785,-1.0,-1.0,-1.0
2,38461883,3.309355304626951,0.10596011862067771,0.00043893940567585376,9.27406729144153e-05,-0.054985268950713144,1.7784307045046717,-1.0,-1.0,-1.0
3,55296056,2.796388278591434,0.06965635856782593,0.000524356142920733,0.00010691826249016825,0.07212107987083806,3.4978690435327735,-1.0,-1.0,-1.0
4,179034615,0.33129508375602545,0.7140515833815778,0.00019393587366831896,0.014760509871282263,0.07489950639879592,0.5978977761496935,-1.0,-1.0,-1.0
5,71132734,7.071571471083496,0.18428207173354094,0.0002733929923799638,0.0003302317561028911,-0.11940478122801072,4.7540379824604315,-1.0,-1.0,-1.0
6,279429390,5.080245360616174,0.2675518203221046,0.00033693176741531224,0.00029153791434817717,0.09388809922996892,4.313245987510527,-1.0,-1.0,-1.0
7,219144853,13.352933511683931,0.2787776523373228,0.00041996242414783997,0.00015113666894844087,0.03375931672023018,6.311791308327884,-1.0,-1.0,-1.0
8,67783488,3.309384332074297,0.45239413202936085,3.686328427890524e-05,0.0008284859038776517,0.45572743580536257,3.2735071372721904,-1.0,-1.0,-1.0
9,43763112,2.8404719502136975,0.1545568494559753,0.00042381868533183486,0.00016683305314393234,0.09698812418077546,2.7992767128141622,-1.0,-1.0,-1.0
10,364324070,9.745924230172298,0.15319715125682876,0.0002906535160778819,0.0001565011882895041,-0.02174865233408818,4.400673355851268,-1.0,-1.0,-1.0
11,1233421,4.941000555137578,0.11945962068235517,5.9874327032712166e-05,0.0005791588706710197,0.062157423927813135,4.735320243422393,8.919112590441637,145.00807074114377,-1.0
12,152475404,0.4289852146489414,0.461395888091606,0.0002798952189308907,0.0008604563150136348,0.03650010202950032,1.632589223312607,-1.0,-1.0,-1.0
13,189012377,7.071361031347259,0.1858086658031083,0.00042020819166317517,0.00036660615083610533,-0.013503912904084111,5.3367577230619645,-1.0,-1.0,-1.0
14,302962949,1.2483380994778905,0.6892273817766943,4.830929824869082e-05,0.0007622279123934968,0.3778347496757329,1.257631411883267,-1.0,-1.0,-1.0
15,20231050,9.246508241235508,0.23661913884013766,0.00036298974613316467,0.0002826548390306945,0.11372498784323398,8.407669241283656,-1.0,-1.0,-1.0
16,34199096,0.7595190167586966,0.9387133841636744,2.8409462794841456e-05,0.004667995922308498,0.21666192158370626,0.7603889453730517,0.7582249056741195,1076.639855714746,-1.0
17,37901782,3.57147423171288,0.4989345859550153,1.64842648012228e-05,0.0018218587271231184,0.6286178422556561,3.7519754832665058,-1.0,-1.0,-1.0
18,373768576,3.9638544743387434,0.1256209745492121,0.0003742812661690332,0.00023906380623342998,-0.04727781850437639,5.620076504545068,-1.0,-1.0,-1.0
19,283752072,2.840423333918314,0.09265185400878011,0.0003744591408166542,5.5735878153715225e-05,0.002563164269192688,2.8506105942710747,-1.0,-1.0,-1.0
20,452750779,1.4259581669067178,0.22772823642888484,0.00034560671277748724,0.00011156234213405358,0.11224483078857811,2.915934355200079,-1.0,-1.0,-1.0
21,593230,6.804836536570018,0.4549718286746379,6.233179192480039e-05,0.0007520665106141806,0.33944017402417803,13.950408048839108,-1.0,-1.0,-1.0
22,31114698,2.8850459859260327,0.15364651863998968,0.00039919748664586586,0.0024183041156192364,0.10888799753311033,3.0201189081799384,-1.0,-1.0,-1.0
23,9431851,12.432667830673989,0.39670312413856496,0.0001638441425690556,0.00021393975300171007,-0.26362884173314355,5.733934090460025,-1.0,-1.0,-1.0
24,261090104,3.3093821119682056,0.1547671508175271,0.0005682507877799094,0.00016575073117797162,0.05761693095576338,3.000645291826231,-1.0,-1.0,-1.0
25,30999620,8.79525753733213,0.39719831798224664,3.1663152922616205e-05,0.0006071517509115744,0.25224414858953664,9.763116759399054,-1.0,-1.0,-1.0
26,306470049,3.2498405066803104,0.13063537009479909,0.0004914080893996946,8.153953573187864e-05,0.06011837464115709,3.194475926557061,-1.0,-1.0,-1.0
27,153798602,4.243572865241925,0.40491692254439937,3.504684797971717e-05,0.0002899980189780339,0.28054634819618013,8.497003617892915,8.503757134297873,108.27757798166269,-1.0
28,434167503,1.6470208142011236,0.08095902773164734,0.0005155449430664111,0.00537937804358961,0.008404120915438447,1.9138133421729435,-1.0,-1.0,-1.0
29,167527371,9.246461001229811,0.155624515439633,0.00035330336478871536,0.00016558227903235283,-0.051658437116847845,3.061127937060519,-1.0,-1.0,-1.0
30,231821027,1.2229481011954102,0.1550498254559412,0.00011837004718066199,0.00032056599726205915,0.10844212681026032,2.5819336413555902,-1.0,-1.0,-1.0
31,59206303,8.795666431402365,0.23768402427731072,0.00026774879038425956,0.00013466238200035457,0.0743587674685661,2.3944245892198524,-1.0,-1.0,-1.0
32,231926281,3.3094695510095606,0.8279001800775081,5.6275927692010344e-06,0.003661595810553716,0.6694207768084142,3.302100236169281,3.3475814316996177,102.66482641205978,-1.0
33,404798700,3.0313440419414768,0.35495393948300596,0.00013647827222933645,0.0062537813830761905,0.2978032652067793,6.236055875824604,-1.0,-1.0,-1.0
34,389019000,0.1293604961041406,0.2563241953996727,0.001122017724186295,0.001435737265912,0.010131296313307399,3.7512709967741102,-1.0,-1.0,1.0
