,TIC,LSper,LSamp,LSmed,LSstd,acf_pk,acf_per,bls_per,bls_ampl,ecl_num,ecl_dep
0,277173650,40.0,,,0.0073172184104748,-1.0,-1.0,6.831213551607322,53.49080304601688,-1.0,-1.0
1,382069455,40.0,,,0.00018749066790112921,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,56647513,40.0,,,0.0003582480209689829,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,55403826,40.0,,,0.00013162966504612784,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,179641113,40.0,,,0.00017170483235659902,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,339772728,40.0,,,0.0002749654133799067,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,19436551,40.0,,,0.0004256887497004957,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,294275287,40.0,,,0.0012300571775913755,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,220421168,40.0,,,0.0009838406946278428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,469279018,40.0,,,0.0006220420054499335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,350295781,40.0,,,0.00010700667488185443,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,149037641,40.0,,,0.00013389236293086574,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,300939409,40.0,,,8.510247300080396e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,382517206,40.0,,,0.0003810183502452183,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,462968302,40.0,,,0.0002102493964267146,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,176936043,40.0,,,0.0009494397269763873,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,168452415,40.0,,,0.0002091381927764127,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,177174590,40.0,,,0.00010081684062358686,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,167416361,40.0,,,0.00019708006407096436,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
