,TIC,LSper,LSamp,LSmed,LSstd,acf_pk,acf_per,bls_per,bls_ampl,ecl_num,ecl_dep
0,159492786,40.0,,,0.0009179075444011425,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,241511379,40.0,,,0.001923628533798041,-1.0,-1.0,2.598425241914853,77.32294717730139,-1.0,-1.0
2,141961470,40.0,,,0.0008553508669104817,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,141867627,40.0,,,0.00013109632591751285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,307571739,40.0,,,0.0003291479196355243,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,260709705,40.0,,,0.0003628772610918336,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,309817108,40.0,,,0.012808080460463984,-1.0,-1.0,6.021374824674157,324.35716635869136,-1.0,-1.0
7,350583319,40.0,,,0.00017095836778096305,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,307778055,40.0,,,0.0002984571733679456,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,306741844,40.0,,,0.00019356323458594738,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,112084491,40.0,,,0.00029171708328914244,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,121476295,40.0,,,0.00014492320201272727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,394594169,40.0,,,0.00045178459468524034,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,179290310,40.0,,,0.0001101443896140013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,448890959,40.0,,,0.00020242675693045618,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,448224243,40.0,,,0.11824575781268218,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,405508600,40.0,,,0.00735974937112905,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,242581036,40.0,,,0.0011500508712946344,-1.0,-1.0,5.609255107565307,179.64103872394062,3.0,-0.33450001887465214
18,422564544,40.0,,,0.0008595630200804481,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,441840798,40.0,,,0.007038764111514835,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,203453434,40.0,,,0.00010122786416812201,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,357781170,40.0,,,0.0010652208481967188,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,389554764,40.0,,,0.00013298440723539593,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,395429445,40.0,,,0.0190060648155105,-1.0,-1.0,17.1977613801219,1705.5944477529365,24.0,-0.044277065209136816
24,350861890,40.0,,,0.0004012760935789416,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,278588426,40.0,,,0.00013050462112945455,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,384578594,40.0,,,0.000799265211719386,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,310312221,40.0,,,0.0005657949898152238,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,150390490,40.0,,,0.00010609934961743788,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,311925653,40.0,,,0.00033882556044162183,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30,278824457,40.0,,,0.00035525743754023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
31,425593717,40.0,,,0.00017213589153338598,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32,306384457,40.0,,,0.00044719413769423605,-1.0,-1.0,16.20695708672887,107.96796435679109,-1.0,-1.0
33,149423652,40.0,,,0.00014805321136244378,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
