,TIC,i0,i1,med,peak
51.0,50472380,5932.0,5955.0,1004.9046630859375,2754.833740234375
56.0,29437243,11865.0,11869.0,29487.05859375,29613.447265625
94.0,99769182,3538.0,3604.0,256.05340576171875,2149.107666015625
154.0,89257479,2962.0,2967.0,7955.16455078125,8860.7275390625
192.0,30110048,8308.0,8320.0,6986.2978515625,7098.375
192.0,30110048,8325.0,8329.0,6986.2978515625,7078.1591796875
192.0,30110048,8361.0,8367.0,6986.2978515625,7053.2236328125
213.0,79104313,8781.0,8910.0,799062.4375,804633.0
254.0,32053388,14364.0,14396.0,135982.25,138346.8125
264.0,402311665,8813.0,8821.0,2468192.25,2474587.25
264.0,402311665,8823.0,8915.0,2468192.25,2475236.0
278.0,278784031,16418.0,16435.0,84194.09375,84600.5390625
284.0,214517426,1755.0,1861.0,60357.0390625,65223.13671875
284.0,214517426,2002.0,2013.0,60357.0390625,61542.09765625
284.0,214517426,2063.0,2076.0,60357.0390625,61140.66796875
309.0,237336864,8854.0,8970.0,32610.8984375,32965.64453125
309.0,237336864,14064.0,14077.0,32610.8984375,32820.390625
309.0,237336864,14079.0,14192.0,32610.8984375,33034.828125
312.0,220536421,514.0,518.0,104475.140625,106253.4296875
312.0,220536421,7501.0,7513.0,104475.140625,105804.4375
312.0,220536421,14137.0,14279.0,104475.140625,105642.1796875
324.0,141769356,5488.0,5510.0,293.4244689941406,623.2455444335938
326.0,441420236,702.0,711.0,286644.875,289501.84375
326.0,441420236,5661.0,5678.0,286644.875,301679.15625
326.0,441420236,6513.0,6533.0,286644.875,295123.6875
326.0,441420236,6673.0,6679.0,286644.875,294858.46875
326.0,441420236,8781.0,8790.0,286644.875,294581.03125
326.0,441420236,8792.0,8914.0,286644.875,297330.4375
335.0,261561216,13969.0,13981.0,17363.77734375,17519.61328125
335.0,261561216,13983.0,13987.0,17363.77734375,17509.89453125
335.0,261561216,13989.0,13993.0,17363.77734375,17497.896484375
335.0,261561216,14014.0,14018.0,17363.77734375,17503.98046875
335.0,261561216,14042.0,14047.0,17363.77734375,17513.859375
335.0,261561216,14058.0,14062.0,17363.77734375,17509.685546875
342.0,214992269,1.0,13.0,7302.25244140625,7895.57958984375
342.0,214992269,31.0,53.0,7302.25244140625,9169.2705078125
342.0,214992269,211.0,243.0,7302.25244140625,8798.669921875
342.0,214992269,326.0,342.0,7302.25244140625,8760.2783203125
342.0,214992269,4376.0,4398.0,7302.25244140625,8049.5751953125
358.0,204590347,9376.0,9435.0,26273.779296875,26565.919921875
358.0,204590347,13058.0,13063.0,26273.779296875,26441.2421875
358.0,204590347,13065.0,13069.0,26273.779296875,26406.916015625
358.0,204590347,13072.0,13088.0,26273.779296875,26447.611328125
363.0,350715999,8777.0,8781.0,119503.3046875,119912.3203125
367.0,326358278,14252.0,14256.0,25766.802734375,25841.33984375
369.0,38585053,16490.0,16498.0,457.18817138671875,758.4652709960938
387.0,231708319,6331.0,6335.0,2390.20458984375,2532.9287109375
387.0,231708319,7892.0,7896.0,2390.20458984375,2475.781982421875
387.0,231708319,10834.0,10841.0,2390.20458984375,2590.919189453125
387.0,231708319,11990.0,12008.0,2390.20458984375,2829.48828125
387.0,231708319,14130.0,14135.0,2390.20458984375,2724.17041015625
387.0,231708319,15318.0,15322.0,2390.20458984375,2461.295166015625
400.0,214516789,6387.0,6394.0,348.3026123046875,462.2841491699219
400.0,214516789,11881.0,11892.0,348.3026123046875,597.8889770507812
400.0,214516789,11894.0,11899.0,348.3026123046875,403.5538024902344
410.0,302376679,926.0,930.0,941.479736328125,1038.70654296875
410.0,302376679,9162.0,9170.0,941.479736328125,1128.8671875
455.0,53753284,2341.0,2458.0,150987.359375,160660.1875
477.0,32068500,11725.0,11749.0,983.52783203125,1060.9041748046875
481.0,33733698,13388.0,13392.0,7004.07421875,7134.61962890625
521.0,30186108,8964.0,8981.0,900.4676513671875,980.653564453125
530.0,441183795,9187.0,9209.0,71821.8515625,73528.921875
541.0,33833289,7958.0,7962.0,994157.125,996784.0625
544.0,29493969,11198.0,11209.0,16312.4365234375,16436.94140625
544.0,29493969,11626.0,11646.0,16312.4365234375,16424.203125
544.0,29493969,11651.0,11656.0,16312.4365234375,16434.326171875
544.0,29493969,11883.0,11888.0,16312.4365234375,16456.0546875
570.0,267083739,13220.0,13230.0,164902.65625,166562.78125
