,TIC,i0,i1,med,peak
30.0,350519062,8931.0,8938.0,163145.5,164295.125
30.0,350519062,8944.0,8949.0,163145.5,164336.484375
30.0,350519062,9039.0,9043.0,163145.5,164271.4375
69.0,339770560,12532.0,12538.0,1360.5787353515625,1528.0584716796875
87.0,350713883,15330.0,15344.0,2578.724365234375,2655.7353515625
106.0,115242296,9821.0,9834.0,851.8236694335938,1113.8721923828125
124.0,231017428,650.0,654.0,21457.802734375,23086.953125
124.0,231017428,2880.0,2885.0,21457.802734375,22030.0546875
124.0,231017428,5814.0,5823.0,21457.802734375,22730.955078125
124.0,231017428,11477.0,11483.0,21457.802734375,22250.05078125
124.0,231017428,11504.0,11536.0,21457.802734375,22299.755859375
124.0,231017428,15132.0,15137.0,21457.802734375,23162.92578125
138.0,141212720,12677.0,12690.0,2147.926025390625,2623.875244140625
138.0,141212720,16518.0,16523.0,2147.926025390625,2274.63720703125
150.0,295071039,7715.0,7721.0,1600017.125,1615001.375
150.0,295071039,7728.0,7749.0,1600017.125,1615076.25
150.0,295071039,7760.0,7828.0,1600017.125,1615855.375
150.0,295071039,7864.0,7885.0,1600017.125,1614863.0
150.0,295071039,7926.0,7938.0,1600017.125,1614897.125
150.0,295071039,7940.0,7964.0,1600017.125,1614882.625
213.0,150321663,2618.0,2622.0,100.68545532226562,171.1554412841797
219.0,231867117,3742.0,3752.0,21119.595703125,22013.078125
219.0,231867117,9202.0,9215.0,21119.595703125,21589.97265625
219.0,231867117,14413.0,14420.0,21119.595703125,21262.873046875
219.0,231867117,16283.0,16287.0,21119.595703125,21952.361328125
263.0,167574282,9211.0,9245.0,7169.03955078125,7925.85205078125
263.0,167574282,10873.0,10881.0,7169.03955078125,7261.64990234375
278.0,167008868,1708.0,1771.0,64320.5546875,70301.125
278.0,167008868,7036.0,7086.0,64320.5546875,71450.4296875
278.0,167008868,9079.0,9134.0,64320.5546875,68844.1171875
278.0,167008868,9329.0,9345.0,64320.5546875,70139.5703125
278.0,167008868,10472.0,10513.0,64320.5546875,71862.5390625
278.0,167008868,14589.0,14626.0,64320.5546875,71914.40625
278.0,167008868,15731.0,15777.0,64320.5546875,71962.984375
283.0,314865597,6176.0,6182.0,3170.016845703125,3230.37109375
283.0,314865597,11287.0,11294.0,3170.016845703125,3228.987060546875
293.0,32032816,957.0,962.0,497.1415710449219,545.8993530273438
293.0,32032816,16211.0,16216.0,497.1415710449219,533.9906005859375
309.0,149216532,6950.0,6954.0,600.5958251953125,830.67333984375
309.0,149216532,7295.0,7312.0,600.5958251953125,923.2964477539062
324.0,441054134,14338.0,14353.0,47194.453125,47553.53125
336.0,25133286,9107.0,9546.0,895.4634399414062,27129.955078125
362.0,41858253,11816.0,11831.0,86519.59375,87555.7890625
403.0,5656273,398.0,403.0,31169.859375,32521.8671875
403.0,5656273,4552.0,4558.0,31169.859375,31487.4609375
403.0,5656273,9171.0,9176.0,31169.859375,31889.01171875
403.0,5656273,13140.0,13145.0,31169.859375,32554.369140625
403.0,5656273,13192.0,13202.0,31169.859375,31511.580078125
419.0,167207566,127.0,133.0,568.3746337890625,801.9879150390625
433.0,234506344,93.0,97.0,2350.5869140625,2707.927978515625
433.0,234506344,1491.0,1495.0,2350.5869140625,2552.08154296875
433.0,234506344,5064.0,5070.0,2350.5869140625,2437.0341796875
433.0,234506344,7667.0,7674.0,2350.5869140625,2513.4541015625
455.0,207205231,8467.0,8475.0,6435002.0,6441331.5
460.0,49677785,9086.0,9097.0,28427.64453125,28124.216796875
461.0,358071175,12013.0,12017.0,9370.2900390625,9472.77734375
469.0,142082942,4248.0,4259.0,992.8790283203125,1182.1392822265625
473.0,150145456,8864.0,8870.0,22822.83984375,23202.607421875
476.0,419051315,3317.0,3324.0,40341.125,40805.453125
479.0,364588501,1894.0,1898.0,36084.63671875,36376.85546875
479.0,364588501,3846.0,3858.0,36084.63671875,36421.61328125
479.0,364588501,5773.0,5785.0,36084.63671875,36812.80078125
479.0,364588501,5805.0,5814.0,36084.63671875,36388.1015625
479.0,364588501,8705.0,8719.0,36084.63671875,36442.0
479.0,364588501,13924.0,13930.0,36084.63671875,36279.12109375
479.0,364588501,15874.0,15880.0,36084.63671875,36491.19921875
479.0,364588501,17373.0,17378.0,36084.63671875,36380.52734375
479.0,364588501,17382.0,17386.0,36084.63671875,36438.1484375
490.0,425937691,10464.0,10468.0,774.597900390625,1163.202392578125
490.0,425937691,15031.0,15044.0,774.597900390625,1137.5648193359375
513.0,307437493,15774.0,15781.0,11126.4638671875,11343.2841796875
541.0,9708387,8936.0,8955.0,93407.53125,95187.4296875
541.0,9708387,14808.0,14828.0,93407.53125,94421.0234375
570.0,246861224,509.0,513.0,1446.69091796875,1557.549560546875
570.0,246861224,10207.0,10265.0,1446.69091796875,1828.5872802734375
570.0,246861224,10362.0,10366.0,1446.69091796875,1517.244384765625
570.0,246861224,13069.0,13082.0,1446.69091796875,1536.7755126953125
579.0,308209545,6436.0,6449.0,2165.681396484375,4618.99462890625
579.0,308209545,13872.0,13876.0,2165.681396484375,2337.385986328125
587.0,281670243,1256.0,1268.0,3761.409423828125,4418.32861328125
587.0,281670243,11321.0,11327.0,3761.409423828125,4015.3681640625
656.0,201860787,4766.0,4775.0,3534.1650390625,3725.062744140625
678.0,40183989,9037.0,9041.0,15700.955078125,15861.4482421875
678.0,40183989,9043.0,9049.0,15700.955078125,15887.9443359375
678.0,40183989,9051.0,9055.0,15700.955078125,15873.2392578125
678.0,40183989,9061.0,9070.0,15700.955078125,15874.5302734375
678.0,40183989,9073.0,9077.0,15700.955078125,15869.9736328125
723.0,219989191,8979.0,9080.0,13975.63671875,14371.005859375
744.0,260655797,5774.0,5783.0,140.20204162597656,391.8087463378906
744.0,260655797,7830.0,7834.0,140.20204162597656,185.9260711669922
745.0,271900514,3711.0,3723.0,3159.623291015625,3328.90087890625
745.0,271900514,7246.0,7257.0,3159.623291015625,3692.654052734375
747.0,70744201,10597.0,10680.0,2468.174560546875,2863.315673828125
750.0,219993473,2981.0,2988.0,1911.4068603515625,2012.90771484375
750.0,219993473,6625.0,6639.0,1911.4068603515625,2288.6015625
765.0,306736831,4765.0,4770.0,4320.75048828125,4532.9052734375
765.0,306736831,9277.0,9290.0,4320.75048828125,5356.70849609375
765.0,306736831,12373.0,12377.0,4320.75048828125,4556.39990234375
765.0,306736831,13485.0,13496.0,4320.75048828125,4636.2255859375
770.0,300709924,12470.0,12482.0,1421.3304443359375,2046.333251953125
778.0,206539520,12539.0,12543.0,934387.4375,935737.625
801.0,401838575,2531.0,2569.0,341.99310302734375,1145.2464599609375
801.0,401838575,3279.0,3285.0,341.99310302734375,642.4109497070312
801.0,401838575,12284.0,12291.0,341.99310302734375,762.8529663085938
847.0,260162387,1629.0,1649.0,11389.09765625,11830.283203125
847.0,260162387,6488.0,6523.0,11389.09765625,12446.8857421875
847.0,260162387,11231.0,11240.0,11389.09765625,11601.71875
951.0,89546779,16267.0,16295.0,519.1094360351562,773.1710205078125
962.0,425936552,8880.0,8885.0,167624.84375,168535.96875
962.0,425936552,8895.0,8902.0,167624.84375,168454.59375
962.0,425936552,8904.0,8921.0,167624.84375,168532.53125
984.0,169766937,16576.0,16640.0,13325.02734375,13703.603515625
989.0,115693552,357.0,362.0,640.4400634765625,770.4859619140625
1014.0,434098588,16449.0,16453.0,1321.232666015625,1362.82275390625
1014.0,434098588,16455.0,16471.0,1321.232666015625,1377.0006103515625
1014.0,434098588,16477.0,16487.0,1321.232666015625,1373.591064453125
1030.0,269797536,3487.0,3506.0,1169.861328125,1325.206298828125
1030.0,269797536,5647.0,5653.0,1169.861328125,1397.9146728515625
1030.0,269797536,10927.0,10931.0,1169.861328125,1337.732421875
1030.0,269797536,15606.0,15619.0,1169.861328125,1409.66455078125
1030.0,269797536,15886.0,15893.0,1169.861328125,1322.6617431640625
1037.0,70744265,10112.0,10199.0,2523.06103515625,3116.5947265625
1050.0,197866266,6104.0,6111.0,2063.0498046875,2736.912841796875
1050.0,197866266,6579.0,6584.0,2063.0498046875,2174.250732421875
